O*NET-SOC Code,Title,oral_comprehension,oral_expression,fluency_of_ideas,originality,problem_sensitivity,deductive_reasoning,information_ordering,mathematical_reasoning,perceptual_speed,visualization,selective_attention,time_sharing,arm_hand_steadiness,finger_dexterity,multilimb_coordination,response_orientation,rate_control,reaction_time,wrist_finger_speed,speed_of_limb_movement,stamina,extent_flexibility,dynamic_flexibility,sound_localization,speech_clarity,label_ML,probability_ML
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",4,3.88,3,3,4,3.88,4,2.88,3.75,3.75,3,2.12,3.25,3.88,2.62,2,2.38,2.75,2,1.25,2,3.12,0,1.25,3,NA,
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",3.88,3.88,2.88,3,3.25,3,3.12,2.88,3.12,3.25,3,2.75,3.25,3.12,2.88,1.88,1.88,2.38,2,1,2.12,2.75,0,1.25,3,NA,
17-2071.00,Electrical Engineers,4.5,4.62,4,3.5,4.38,4.25,4.25,4.12,3.12,3.5,3.12,2.88,2,2.12,0,0,0,0.12,0.88,0,0,0.38,0,0.25,3.12,0,
49-9051.00,Electrical Power-Line Installers and Repairers,3.88,3.25,2.88,2.75,4,3.25,3.88,1.62,2.75,3.12,3,2.88,3.38,3.75,4,3.12,3,3.38,2,1.75,3.12,3.75,0.88,1.25,2.88,NA,
47-2111.00,Electricians,4,3.88,3,3,3.88,4,3.88,3,3.12,4,3.12,2.88,3.12,3.25,3,2.75,1.88,3,1.88,1.75,3,3.75,0.38,1.88,3.12,NA,
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,3.88,3.88,3.12,3.12,3.62,3.88,3.88,3,3.62,4,3.25,2.88,3.88,3.88,3.12,2.5,2.25,3.62,2,1.25,1.62,1.75,0,1.25,3,NA,
51-2023.00,Electromechanical Equipment Assemblers,3.12,2.88,2.12,2,3.25,3,3.62,1.88,2.88,3.5,2.88,1.88,3.38,3.75,2.38,1,1.12,1.75,1.38,0.12,1.12,2.25,0,0.38,2.5,1,
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",3.88,3,3,2.88,3.12,3.12,3.25,2.38,2.88,3.62,3.12,2.75,3.75,3.75,3,2,2.12,2.75,1.88,1.38,1.75,3.75,0.12,2,3,NA,
17-2072.00,"Electronics Engineers, Except Computer",4.38,4.25,3.88,4,4.12,4.25,4.12,4.12,3,4.12,3,2.5,3.12,3.25,1.12,1,1,1.5,1.75,0,0.25,1.12,0,0,3.12,NA,
25-2021.00,"Elementary School Teachers, Except Special Education",4.25,4.25,3.62,3.88,4,4,3.38,2.5,2.5,2.88,3.12,3.12,0.62,2,1,0.12,0,0,0.75,0.5,1.5,0.88,0,0.38,4.12,NA,
47-4021.00,Elevator and Escalator Installers and Repairers,3.75,3.25,2.88,2.75,3.5,3.12,3,2.38,3.12,3.5,3,2.38,3.25,3.25,3,2.75,2.12,3,2,1.12,2,3.75,0.25,1.38,2.25,NA,
43-4061.00,"Eligibility Interviewers, Government Programs",4,4.12,2.75,2.62,3.38,3.75,3.25,2.62,2.25,2,2.88,2.12,1.5,1.25,0,0,0,0,0.75,0,0,0,0,0,4,NA,
39-4011.00,Embalmers,4,3.88,2.88,2.75,3.25,3.12,3.25,1.5,2.25,3,2.25,2.12,4,3.12,2.75,1.25,1.12,1.25,1.75,0.75,1.88,2,0,1.12,3.12,NA,
11-9161.00,Emergency Management Directors,4.62,4.5,4.25,4.12,4.75,4.25,4,3,3,3.5,3,3,1.62,0.75,1.38,1.25,0.62,1,1.12,0,0.62,0.75,0,0.62,4.25,NA,
31-9099.02,Endoscopy Technicians,3.88,3.88,2.25,2,3.38,3.12,3,2,3,2.88,3.12,2.88,3.38,3.12,3.12,1.88,2,2,1.88,0.5,1.75,2.5,0.12,0.38,3.12,NA,
47-4011.01,Energy Auditors,4,4,3.5,3,3.88,3.88,3.62,3.62,3,3,3,2.88,2.88,2.88,2.75,1.62,1.5,1.5,1.88,0.25,1.38,2.75,0,1.5,3.12,NA,
17-2199.03,"Energy Engineers, Except Wind and Solar",4.75,4.12,3.62,3.62,4.12,4.12,4,4,3,3.62,3.12,2.75,0,1.25,0.5,0,0,0,0.12,0,0,0,0,0,3.75,NA,
51-2031.00,Engine and Other Machine Assemblers,3.12,3,2,2,3,3,3,2,3,3.88,3,2.75,3.12,3.25,3.38,2,2,3,2,2,1.88,3.12,0.12,1.12,3,NA,
25-1032.00,"Engineering Teachers, Postsecondary",5.12,5.38,3.88,3.88,3.75,4.25,4.12,4.25,2.12,3.38,3.12,2.38,0.62,1.25,0,0,0.12,0.12,0.5,0,0,0,0,0,4.75,NA,
25-1123.00,"English Language and Literature Teachers, Postsecondary",5,5,3.88,3.75,3.62,3.88,3.5,1.88,1.88,2,2.88,2.25,0,0.25,0,0,0,0,0,0,0,0,0,0,4.75,NA,
13-1041.01,Environmental Compliance Inspectors,4.75,4.88,3.25,3.12,4.88,4.75,4,3,3.75,3,3,2.75,1.88,2.38,2,1.62,1.5,1.75,0.5,0.5,1.25,1,0,1.25,3.62,NA,
19-3011.01,Environmental Economists,4.88,4.88,4,4,4.12,4,3.12,4.75,2.88,3,3.12,2.12,0,0.75,0,0,0,0,0.12,0,0,0,0,0.25,4.38,NA,
17-3025.00,Environmental Engineering Technologists and Technicians,4.5,4,3.12,3,4.12,3.88,4,3.5,3,3.25,3.12,2.88,3,2.88,2.62,2,1.88,2.75,1.88,1.12,1.88,2.12,0,1.25,3.12,NA,
17-2081.00,Environmental Engineers,4.62,4.38,3.88,4,4.25,4.25,4,4,3,3.38,3.12,2.75,0,1.12,0.38,0,0,0,0.5,0,0,0,0,0,4.12,NA,
19-2041.02,Environmental Restoration Planners,4.75,4.5,3.88,3.88,4,4.25,4.12,3.5,3,3.38,3,2.88,1.75,2.12,2.12,1.62,0.88,1.12,0.62,0.5,1.38,1.25,0,0.75,3.88,NA,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",4.12,4.12,3.12,3.12,4,4,3.75,3.12,3,3.12,2.88,2.88,2.88,2.88,2.5,1.88,1.75,2.25,2,0.25,1.62,1.75,0,1.25,3.12,NA,
25-1053.00,"Environmental Science Teachers, Postsecondary",4.88,5.12,3.5,3.5,3.38,4.12,3.75,3.12,2.12,1.75,2.75,2.5,0,0.62,0,0,0,0,0.62,0,0,0,0,0,4.88,NA,
19-2041.00,"Environmental Scientists and Specialists, Including Health",5,4.88,3.62,3.62,4.62,4.12,4,3.62,2.88,2.75,3.12,2.62,1.38,1.5,1.5,0.5,0.5,0.75,0.25,0.38,0.25,0.5,0,0.5,3.75,NA,
19-1041.00,Epidemiologists,5.25,5.12,4.12,4.12,4.75,5,4.12,4,3,3.12,3,2.5,0,1.38,0,0,0,0,0.62,0,0,0,0,0,4,NA,
13-1041.03,Equal Opportunity Representatives and Officers,4.88,4.75,3.75,3.5,4.12,4.38,3.75,3,2.75,2.25,2.75,2.88,0,1.75,0,0,0,0,0.75,0,0,0,0,0.25,3.75,NA,
51-9194.00,Etchers and Engravers,3.25,3.38,2.62,2.5,3,3,3.12,1.88,2.75,3.12,3,2.12,4,3.62,2.88,1.75,2.25,2.5,1.88,0,1.38,1.62,0,0.62,3,NA,
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",3.62,3.62,2.12,2.12,3.12,3,2.88,1.88,3,3.5,3.12,3,3.12,3.12,4.12,4,3.75,4.12,2.88,3,2.25,2.88,0.25,2.88,3,NA,
43-6011.00,Executive Secretaries and Executive Administrative Assistants,4,4,3,3,3,3.12,3.12,2.62,2.75,2.25,3,2.88,0.88,2.25,0.62,0.25,0,0,1.88,0,0,0.25,0,0,3.88,NA,
29-1128.00,Exercise Physiologists,4.62,4.75,3.5,3.75,4.12,4,3.62,2.88,2.88,2.75,2.88,2.62,2.62,2,2.62,0.75,1.25,1,1.25,1.25,2.62,2.75,0.62,0,4,NA,
39-9031.00,Exercise Trainers and Group Fitness Instructors,3.88,3.88,3.25,3.12,3,3,3,0.75,2.12,2.12,3,3,2.88,2.12,2.88,0.75,0.88,0.75,1.25,2.12,4,4.12,3.38,0.25,3.62,NA,
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",3.88,3.5,3,3,3.88,3.75,4,2.25,3.63,3.38,3.5,3,3.5,3.5,3.5,2.88,2.75,4,1.88,2.5,2.5,3.25,0.5,1.88,2.88,NA,
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3.12,2.75,2,2,2.88,3,3,1.88,3,3.12,3.12,2.38,3,3.25,3.25,3,3.12,3.5,2.38,2.12,2.62,3,0.5,1.38,2.62,NA,
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",3.5,3,2.12,2.12,3.12,3.12,3.12,2,3.12,3,3.5,2.88,3.12,3.12,3.12,2.88,3,3.5,2.5,1.75,1.88,2.88,0.12,1.62,2.88,NA,
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",3.12,2.88,2,2,2.88,2.88,3.12,1.75,3.75,3.62,3.38,2.5,3.25,3.25,3.25,2.88,3.12,3.75,2.38,1.88,2.5,3.12,1,0.88,2.75,NA,
51-6092.00,Fabric and Apparel Patternmakers,3.62,3.75,3.62,3.88,3.38,3.62,3.75,3,3.12,4.25,3.12,2.88,3.5,3.12,2.38,1.38,1.62,1.75,2.38,0.12,1.5,1.75,0,0,3.12,NA,
45-4021.00,Fallers,2.5,2.63,1.5,1.75,3.13,3,2.75,1.38,3,3.38,2.63,2.63,3,2.75,3.88,3.38,3,4.25,2.63,3.75,3.38,3.88,1.13,2.13,2.5,NA,
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",4.88,4.88,3.12,3.38,3.25,4,3.38,3,2.25,2.38,2.75,2,0,1.38,0,0,0,0,0.75,0,0,0.12,0,0,4.62,NA,
29-1215.00,Family Medicine Physicians,5,5,3.12,3.12,5.25,4.25,3.75,2.88,3,2.38,3.12,3.12,2.88,2.75,0.12,0,0,0,0.5,0,0,0,0,0,4,NA,
25-9021.00,Farm and Home Management Educators,4.88,4.88,4,4,4,4.25,4.12,3.25,3,3,3,2.88,2.12,1.62,2.12,1.75,1.5,1.75,0.88,0.25,0.75,0.75,0.25,0.88,4.12,NA,
49-3041.00,Farm Equipment Mechanics and Service Technicians,3.25,3.25,2.62,2.12,3.12,3.25,3.25,2.12,3,3.75,3.25,2.75,3.75,3.88,4,3.12,2.25,3.12,2.62,1.88,2.5,4.12,0.25,2.12,2.75,NA,
13-1074.00,Farm Labor Contractors,3.25,3.38,2.12,2,3.25,2.88,2.75,1.88,2.25,1.75,2.75,2.75,2.38,1.5,3,2.5,2.38,2.38,0.25,2,2.12,1.5,0,1,3.12,1,
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",4.04,4.04,3.17,3.34,4,3.83,3.5,2.79,2.71,3,2.88,2.75,2.79,2.79,3,2,1.71,2,1.34,1.04,1.67,2.17,0.17,1.34,3.04,NA,
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2.88,3.12,2.12,2,3.5,2.88,2.5,1.88,2.25,2.62,2.5,2.75,3.25,3,3.5,2.75,2.88,3.62,2.25,2.12,3,3.75,2.38,1.38,2.5,NA,
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.62,3.12,2.12,2.25,3.25,3.12,2.88,1.5,2.75,2.75,2.88,2.75,3.12,3,3.25,2.75,2.62,2.75,2,1.88,2.5,2.88,0.62,1,2.75,NA,
27-1022.00,Fashion Designers,4,4,3.88,4.38,3.25,3.63,3.38,2.25,2.88,3.63,3.13,2.25,2.88,2.88,0.5,0,0.63,0.13,0.63,0,0,1.13,0.63,0,3.13,0,
35-3023.00,Fast Food and Counter Workers,2.88,2.75,1.62,1.5,2.5,2.12,2.12,1.5,2,1.75,2.12,2.12,2.25,2.12,0.75,1,0.75,1,1,0.25,1.62,1.75,0,0.38,2.75,NA,
47-4031.00,Fence Erectors,3,3,2,1.75,2.88,2.62,2.88,2,2.12,3.12,2.38,1.88,2.88,3,3.25,2.88,2.25,2.88,2.12,2.62,3.12,3.38,0.62,1.5,2.25,NA,
51-2051.00,Fiberglass Laminators and Fabricators,3,3,2.62,2,2.88,2.88,3.12,2,3,3.38,2.88,2.62,3.25,3,3.5,2.5,3,3,1.88,1.75,2.62,3.25,0.38,1.62,2.25,NA,
43-4071.00,File Clerks,3.62,3.12,2.62,2.75,3,2.88,3,2,2.88,2,2.88,2.25,2,2.88,1.5,0,0,0,2,0.62,1.25,1.75,0,0,3,1,
27-4032.00,Film and Video Editors,4,4,3.5,3.62,3.38,3.5,3.88,2,3.12,3.75,3.25,2.38,2.38,2.88,0.12,0,0.62,0.38,0.88,0,0,0.25,0,0.25,3.12,NA,
13-2061.00,Financial Examiners,4.62,4.88,3.38,3.12,4.25,4.62,3.88,3.88,3,2.12,3,2,0.12,1.38,0,0,0,0,0.5,0,0,0,0,0,3.88,NA,
11-3031.00,Financial Managers,4.5,4.62,3.5,3.12,4,4.62,3.5,3.75,2.62,2.12,2.62,2,0.88,1.12,0,0,0,0,1.62,0,0.25,0,0,0.25,4,NA,
13-2099.01,Financial Quantitative Analysts,5,4.12,3.88,3.62,4,4.75,3.88,5,2.5,2,2.88,1.88,0.5,0.62,0,0,0,0,1,0,0,0,0,0,3.5,NA,
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",3.5,3.38,4.12,4.62,3,3,3,1.38,2.25,4.25,3,2,3.75,3.25,2.38,1.38,1.25,1.5,2.12,0.12,0.88,1.38,0.25,0,2.88,NA,
33-2021.00,Fire Inspectors and Investigators,4.12,4,3,3,3.88,4,3.62,2.25,3.12,2.88,3.38,2.75,2.38,2.12,2.38,1.62,1.38,2.25,2.25,0.5,1.5,2.12,0.12,1.5,3.75,NA,
33-2011.00,Firefighters,4.25,4,3.12,2.75,4.5,3.88,3.5,2.75,3.5,3.5,2.88,2.88,3.62,3,3.88,3.38,3,4,2.62,2.5,3.88,3.75,1.88,2.62,3.38,NA,
17-2111.02,Fire-Prevention and Protection Engineers,4,4.12,3.88,3.88,4.12,4.25,4,3,3,3.62,3,2,0,1.88,1.5,0,0,0,0.25,0,0.25,0.25,0,0,3.88,NA,
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,4,4,3,3.12,3.25,3.62,3.25,3,3,3.12,3,3,3,3,3,2,2,2.25,1.38,1,2,2,0.25,1.12,3.25,NA,
33-1011.00,First-Line Supervisors of Correctional Officers,4,4,3,2.75,4,4,3.12,2,3.12,2.5,3.62,3,2.5,2,2.25,2.88,0.88,3.12,0.75,1.88,3,2.12,0.5,1.5,3.75,NA,
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",3.62,3.62,3,3,3.62,3.5,3.25,2.75,3.12,3,2.75,2.88,2.5,2.62,3.12,2.88,2.5,2.75,2.38,0.5,2.5,3.12,1,1.75,3.5,NA,
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,4,4,3.5,3.25,3.62,3.75,3.75,2.38,3.38,3.25,3.5,3.12,3,2.88,2.88,2.62,2.5,2.88,2.12,1.62,2.88,3,1,1.88,3.5,NA,
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3.88,3.75,3,3,3.12,3.12,3.12,2.88,2.75,2.88,2.75,3,2.5,2.75,2.25,1.38,1.12,1.38,2.25,1.75,2.12,2.38,0.38,0,3.12,NA,
39-1013.00,First-Line Supervisors of Gambling Services Workers,3.75,4,2.25,2.62,3.75,3.38,3.25,2.25,2.75,2.12,3.38,3.12,2.12,2.5,1.88,0.88,0.88,1.12,1.75,0.75,2,1.75,0.5,1.12,3.25,NA,
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",4,4,3,3,3.75,3.75,3.62,2.25,2.25,3,3,3,2.38,2.5,2.25,1.62,1.38,1.62,0.75,1,2.12,2.62,0.5,0.88,3.25,NA,
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,3.75,3.75,2.62,2.25,3,3,3,2,2.12,2.12,2.25,2.12,2.25,2.12,2,1.5,1.5,1.12,1.38,1.5,2.25,2.25,0.12,0.38,3.12,1,
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",4,4,3,3,3.12,3.12,3.12,2.5,3.12,3.25,3.12,2.88,3,3,3,2.12,2.25,2.75,1.38,0.75,2.12,2.62,0.62,1.38,3,NA,
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,4,4,3,3.12,3.75,3.75,3.5,2.75,2.88,3,3,3,2.75,2.38,2.62,2.12,2,2.12,1.5,0.75,1.62,1.25,0,1.5,3.12,NA,
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",4,4,3.38,3.38,3.88,3.88,4,3,3.12,3.75,3.12,3,3,3,3,2.5,2.12,3,2,1.25,1.75,2.12,0,2.12,3.75,NA,
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,4,4.12,3.62,3.38,3.12,3.88,3.12,3.12,2.75,2.88,2.75,2.25,0.5,2.25,0,0,0.12,0.25,0.5,0,0.25,0,0,0,4,NA,
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,4,4,3,3.38,3.62,3.62,3.25,2.75,2.62,2.62,2.62,2.88,0.62,2.12,0.88,0,0,0,0.5,0,0.5,0.62,0,0,3.75,NA,
39-1022.00,First-Line Supervisors of Personal Service Workers,4,4,3.12,3.12,3.88,3.5,3,2,2.62,2.25,2.88,2.88,2.12,1.62,1.75,0.25,0.25,0.12,1,0.25,1.75,2,0,0.25,3.38,NA,
33-1012.00,First-Line Supervisors of Police and Detectives,4.25,4.25,3.62,3.38,4,4.12,3.75,2.62,3,2.88,3.5,3.5,2.88,2.62,2.75,3,2.5,3.5,1.12,2.12,2.25,2.25,0,2.12,3.88,NA,
51-1011.00,First-Line Supervisors of Production and Operating Workers,4,4,3.25,3.62,3.88,3.75,3.62,2.88,3,3.12,3.12,3,2.88,3,2.62,2,2.25,2.88,2,1.25,2,2,0,1,3.62,NA,
41-1011.00,First-Line Supervisors of Retail Sales Workers,3.88,4,3.12,3.12,3.62,3.62,3.12,2.88,2.62,2.75,2.75,2.38,2.38,2.38,2.25,0.88,0.38,0.5,1.75,0.88,1.75,2.5,0,0.12,3.25,NA,
33-3031.00,Fish and Game Wardens,4.12,4,3,3,4.12,3.75,3.12,2.25,2.75,2.38,3.25,3,2.62,2.5,3,2.88,2.62,3,0.88,2.25,2.88,2.12,0,2.25,3.88,NA,
45-3031.00,Fishing and Hunting Workers,3.13,3.19,2.31,2.25,2.94,3,2.75,1.06,2.75,3.06,3,2.31,3.19,3.12,3.25,2.63,2.81,3.19,2.13,2.44,2.69,3.5,0.81,1.75,2.44,NA,
11-9179.01,Fitness and Wellness Coordinators,4,4,3.88,3.75,4,4,3.62,2.75,2.38,2.75,2.88,2.88,2,2,2.5,0.38,0.5,0.38,1.75,1.5,2.88,2.88,2.12,0,3.5,NA,
53-2031.00,Flight Attendants,4,4,2.38,2.12,3.88,3.62,3,1.88,3.12,2,3.12,2.88,2.75,2.75,2.62,1.5,0.75,2.12,0.5,1.88,2.62,3.12,0,0.25,4,0,
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",3.63,3.13,2.13,2.13,2.63,3,3,1,1.75,3.5,2.88,2.5,3,2.75,2.88,1.25,1.5,2,1.25,0.88,2.13,3.5,0.5,0.5,2.63,NA,
47-2043.00,Floor Sanders and Finishers,3,3,1.88,2,2.5,2.62,2.88,1.5,2.38,2.75,2.62,1.88,2.88,2.88,3,2.12,2.62,3,2.75,2.38,3.12,3.62,0.5,0.62,2.25,NA,
27-1023.00,Floral Designers,3.75,3.88,3.38,3.12,2.75,3.12,3.12,1.88,2.12,3.5,2.25,2.12,3,2.62,2.12,0.62,0.12,0.38,1.12,0.12,1.12,1.38,0.12,0.25,3.12,NA,
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",3.12,3,2.12,2.12,3.12,2.88,3,0.62,3.12,3,3.12,2.12,3.12,3,2.88,2,2.38,2.25,1.88,1.75,2.12,2.88,0,1,2.88,NA,
51-3092.00,Food Batchmakers,3.12,3.12,2.12,2,3,2.88,3.12,2.12,3.12,2.25,3,2.12,2.38,2.12,2.12,1.88,2,2.88,1.88,1.38,2.12,2.75,0,1.12,2.75,NA,
51-3093.00,Food Cooking Machine Operators and Tenders,3,2.88,2,1.5,3,2.88,3.12,1.88,2.75,2.25,2.75,2.12,2.75,2.25,2.75,1.25,2,3.12,1.88,1.62,1.88,2.5,0.12,0.88,2.25,NA,
35-2021.00,Food Preparation Workers,3,2.25,2,2.12,2.25,2.12,2.5,1.38,2,1.88,2.12,2,2.88,2.75,2.38,0.5,1,1.12,1.88,1.38,2.12,2.62,0.25,0,2.25,NA,
19-4013.00,Food Science Technicians,4.12,4,2.88,2.38,3.12,3.5,3,3,3.12,2.75,3,2.5,2.5,2.62,1.38,0.62,1.25,1.75,1.12,0.38,1,0.38,0,0.25,3,NA,
19-1012.00,Food Scientists and Technologists,4.25,4.12,3.75,3.88,4.12,4,3.88,3.75,3.12,2.88,3,2.5,2,2.5,1.88,1.38,1.5,2.12,1.5,0,0.62,0.75,0,0,3.62,NA,
35-3041.00,"Food Servers, Nonrestaurant",3,3,1.88,1.88,2.62,2.12,2.12,1.12,2.12,2.12,2.25,2.12,2.62,2.25,2,0.62,1.12,1.12,0.88,0.75,2.12,2.12,0,0,3,NA,
11-9051.00,Food Service Managers,4,4,3.12,3,3.75,3.5,3.12,2.75,2.75,2.5,3,2.88,2.88,2.88,2,0.75,0.75,1,1.5,1,2.12,2.12,0,0,3.12,NA,
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",4.88,4.88,3.38,3.25,3.38,3.62,3,1.88,2,2,2.88,2,0,0.62,0,0,0,0,0,0,0,0,0,0,4.88,NA,
19-4092.00,Forensic Science Technicians,4.75,4.62,3.75,3.12,3.88,4.25,4,2.88,3.5,3.5,3,2.5,3.12,2.88,2.88,1.88,1.62,1.62,1.75,1.25,1.62,2.25,0,0.88,3.88,NA,
19-4071.00,Forest and Conservation Technicians,3.88,3.88,2.88,2.88,3.75,3.75,3.5,2.88,2.88,3.62,3.12,2.88,3.12,3,3,2.5,2.38,2.88,1.88,1.75,2.75,2.88,0.5,1.38,3.25,NA,
45-4011.00,Forest and Conservation Workers,3.5,3.38,2.25,2.12,3.25,3,3,1.75,3,3,3,2.62,3,2.88,3.25,2.75,1.75,2.38,2,2,3.12,3.12,0.88,2,3,NA,
33-2022.00,Forest Fire Inspectors and Prevention Specialists,4,4,2.88,3,4.12,3.62,3.12,2.62,3.25,2.88,3.12,2.88,2.75,2.62,3,2,1.38,2,1.12,1.38,2.12,2.25,0.5,1.12,3.38,NA,
19-1032.00,Foresters,4.12,4.12,3.62,3.62,4,4,4,3.25,2.75,3.25,2.88,3,2.88,2,3,2.12,1.88,2.25,1.38,0.88,2.12,2.25,0,1.25,3,NA,
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",4.88,5,3.75,3.75,3.75,4.12,3.25,3.25,2.38,2.25,2.75,2.12,0.62,1,1.38,0.75,0.5,0.88,0.38,0,0.38,0.38,0,0.62,4.88,NA,
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",3.12,3,2.12,2.12,3,3,3,1.88,3.12,3.12,3,2,3.12,3.12,3,2.5,2.88,3.12,2.12,1.75,2,2.38,0.25,1.25,2.5,NA,
51-4071.00,Foundry Mold and Coremakers,2.88,2.38,1.5,1.38,2.75,2.12,2.75,1.25,2.12,3,2.88,2.12,3.12,3,3,1.88,2.62,3.25,1.38,1.25,2.75,2.88,0.75,0.75,2.12,NA,
13-2099.04,"Fraud Examiners, Investigators and Analysts",4.25,4.12,3.75,3,4,4,3.62,3.12,2.12,2,3.12,2.88,0.38,0.75,0.25,0,0,0,0.5,0,0,0,0,0,3.75,NA,
43-5011.01,Freight Forwarders,3.75,4,3,2.75,3.38,3.5,3.12,3.12,2.75,2.5,2.88,2.75,0,1.75,0,0,0,0,0.25,0,0,0,0,0,3,NA,
17-2141.01,Fuel Cell Engineers,4.88,4.75,4.25,4,4.25,4.12,4,4.12,3.62,3.88,3.25,2.75,3,2.88,1,1,0.75,0.62,1.25,0,0,0.38,0,0.25,3.12,NA,
13-1131.00,Fundraisers,4.12,4.25,4,3.75,3.12,4.12,3.75,3,2,2,2.75,2.25,0,1.75,0.25,0,0,0,0.38,0,0,0,0,0,4.12,NA,
39-4021.00,Funeral Attendants,3.88,3.62,1.62,1.5,2.62,2.5,2.75,1.12,1,1.62,2.12,2.25,2.12,1.38,2.25,0.88,0.75,1.12,0.25,1,1.38,1.5,0,0.62,3,NA,
11-9171.00,Funeral Home Managers,3.88,3.88,3,2.62,3.38,3.12,3.12,2.88,2.5,2.5,2.5,2.62,2.12,2.38,2.38,1.38,0.88,1,0,0.62,1.12,0.88,0.25,1.12,3.5,NA,
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",3.62,3.38,1.5,1.12,3.12,2.88,3,2,3.25,2.12,3.25,2,3,2.88,3,2.12,2.5,3.38,2,1.62,2.12,3.25,0,0.5,2.88,NA,
51-7021.00,Furniture Finishers,3.12,3.12,2.88,2.88,2.88,3,3.12,1.5,2.88,3.88,3.12,2.38,3.12,3.25,3.12,1.88,2.25,2.38,2.5,2.25,2.75,3,0.38,0.5,2.38,NA,
39-3012.00,Gambling and Sports Book Writers and Runners,3.88,3.88,2.12,1.75,2.88,3.12,3.12,2.38,2.75,2.12,3,2.75,2,2.38,1.25,0.38,1.12,1.25,0.5,1.12,1.12,0.5,0.12,0,3.12,NA,
43-3041.00,Gambling Cage Workers,3.75,3.88,2.12,1.88,3.12,3.12,3,2.5,2.88,1.5,3,2.75,2.12,2,1.5,0.12,0.25,0.12,0.5,0.38,1.88,2,0,0,3,NA,
41-2012.00,Gambling Change Persons and Booth Cashiers,3.25,3.25,2.12,2.12,3,2.88,3,2.38,3,2.12,2.88,2.25,2.38,2.62,1.88,1.25,1,1.12,1.62,0.88,1.25,1.88,0.12,0.62,3,NA,
39-3011.00,Gambling Dealers,3.75,3.75,1.88,1.75,3.12,3,3.12,2,2.88,2.12,3,2.62,2.5,2.88,2,0.5,0,0.25,1.25,0.12,1.62,2,0.38,0.12,3,NA,
11-9071.00,Gambling Managers,4,4,3,2.88,4,3.75,3.62,3,3,2.12,3.5,3.25,1,1.88,0.75,0.75,0.5,0.75,0.38,0.5,1.62,0,0,0,3.75,NA,
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,3.75,3.75,2.12,2.12,4.12,3.5,3.12,1.38,3.25,2.25,4,3,1.75,1.75,0.62,1.25,0,0.88,0.88,0.38,1.12,1,0,0,3.12,NA,
53-7071.00,Gas Compressor and Gas Pumping Station Operators,3.12,3,2.25,2.12,3.25,3.25,3,2.12,3.5,2.75,3,2.75,3.12,3.12,3.12,2.88,3.12,3.25,2,1.62,1.88,2.25,0,1.5,2.88,NA,
51-8092.00,Gas Plant Operators,3.75,3.62,2.5,2.75,3.75,3.5,3.25,2.38,3.88,3.12,3.38,2.88,3,3,3,2.88,2.75,3.75,2.12,1.25,1.88,2.62,0,1.75,3,NA,
51-9071.06,Gem and Diamond Workers,3.62,3.5,2.5,2.75,2.88,3.12,2.75,2.62,2.75,3.38,2.62,2,5.25,4.38,2.25,1.75,1.62,1.62,2,0.38,0,0.12,0,0,2.88,NA,
